
하수도 청소 자동차류 등록 현황,경기도 하수도청소자동차류 등록 현황 입니다.
온기나눔쉼터설치현황,경기도 온기나눔쉼터설치현황 입니다.
현수막지정게시대 현황,현수막지정게시대 현황입니다.
제설함설치현황,경기도 제설함 설치 현황 입니다.
보훈단체 정보,경기도 보훈단체 정보 현황 입니다.
반려동물 등록 현황,경기도 반려동물 등록 현황 입니다.
그늘막 설치 현황,경기도 그늘막 설치 현황 입니다.
경기농촌융·복합산업 인증사업자 현황,경기도 내 농촌 융·복합 산업 인증사업자 목록입니다.
미세먼지 경보 조회 서비스,경기도 미세먼지 경보 조회 서비스 입니다.

코로나19 대응 관련 사회적기업 리스트,경기도 코로나19 대응 관련 사회적기업 리스트 입니다.
채석신고 현황,경기도 내 채석신고 현황입니다.
경기도 비정규직 관련 근로형태별 성별 주당 근로시간,근로형태별 성별 주당 근로시간 입니다.
경기도 비정규직 관련 근로형태별 성별 평균임금,근로형태별 성별 평균임금 입니다.
경기도 공동주택 현황,경기도 공동주택 현황 입니다.
경기도 코로나19 신천지 방역현황,경기도 신천지 교회 및 기타시설의 현황입니다.
코로나바이러스 감염증 선별진료소 운영 의료기관 현황,코로나바이러스 감염증 선별진료소 운영 의료기관에 대한 정보입니다.
경기도수원월드컵경기장_행사 운영 현황,경기도수원월드컵경기장에서 진행하는 행사 운영 현황입니다.
경기도수원월드컵경기장_경기 운영 현황,경기도수원월드컵경기장에서 이루어지는 경기 운영 현황입니다.
경기도경제과학진흥원_일하기 좋은 기업 및 우수 여성 기업 선정 현황,일하기 좋은 기업 및 우수 여성 기업 선정 현황 입니다.

경기도경제과학진흥원_테크노밸리 입주기업 현황,"테크노밸리(R&DB센터, 경기도경제과학진흥원, 경기바이오센터, 경기벤처창업보육센터)의 입주기업 현황입니다."
경기도평생교육진흥원_우리동네 평생학습강좌 개설 현황,시군별 평생학습관 등에서 개설되는 평생학습 강좌 정보입니다.
경기도평생교육진흥원_우리동네 학습공간 지정 현황,생활권 내에서 학습모임을 할 수 있는 道 내 유휴시설 학습공간 지정 현황입니다.
킨텍스_KINTEX앱을 통한 행사 사전등록 현황,"KINTEX 에서 열리는 행사에 대한 사전등록 현황입니다. 

행사명, 행사기간, 광역시도별 사전등록자 수, 사전등록 입장객 수 정보를 제공합니다. 


※ 킨텍스앱을 통해 사전등록한 현황만을 제공합니다. (인터넷을 통한 사전등록 현황 제외) 

※ 킨텍스앱 : 킨텍스에서 열리는 다양한 전시회의 무료 사전등록 서비스, 각종 이벤트 진행, 맛집/핫플레이스/호텔 할인권 제공, 실시간 주차장 현황, 주차비 결제 서비스를 제공"
킨텍스_KINTEX 행사 일정,"KINTEX에서 진행되는 행사 일정입니다.
행사(전시회)명, 행사기간, 행사장소, 주최기관, 행사(전시회) 홈페이지등의 정보를 제공합니다."
경기도여성가족재단_온라인 간행물(주간 WiFi) 현황,경기도여성가족재단에서 발간한 온라인 간행물(주간 WiFi) 현황입니다.
경기도여성가족재단_연구보고서 목록,경기도여성가족재단 연구보고서 목록 입니다.
경기관광공사_경기도 MICE Alliance 호텔 및 리조트,"경기도 MICE Alliance 회원사인 호텔 및 리조트의 시설명, 연락처, 주소, 홈페이지, 객실 수 정보를 제공합니다."
경기관광공사_경기도 MICE Alliance 컨벤션 및 전시 시설,"경기도 MICE Alliance 회원사인 컨벤션 및 전시 시설의 시설명, 연락처, 주소, 홈페이지, 객실 수 정보를 제공합니다."
경기관광공사_경기관광 인증프로그램 정보,경기관광공사에서 인증한 경기관광 프로그램 정보입니다.
